"著者","題目","出典","要約","年月","DOI/Handle"
"木下雅之，山里敬也，岡田啓，藤井俊彰，荒井伸太郎，圓道知博，鎌倉浩嗣","[ポスター講演] ITSイメージセンサ通信における車輌振動及び路面凹凸が与える通信路パラメータフィッティング","電子情報通信学会技術研究報告, RCS2016-112, pp.99-103, 名古屋","イメージセンサ通信では情報源を空間的に分離することができることから、複数情報源との同時通信が可能であるため、ITS（高度道路交通システム）のような屋外・移動体環境での利用に期待できる。ITSイメージセンサ通信では、車輌の移動に伴って、イメージセンサ上での送信機の位置も移動することから、ロバストな通信を行うためには送信機の検出・追跡が重要となる。この様な車輌の移動・振動によって生じるイメージセンサ上での送信機の移動はオプティカルフローと呼ばれ、イメージセンサ通信路を変動させるため、考慮しなければならない。先行研究ではイメージセンサ上での送信機の振る舞いに注目した通信路をモデル化したが、車輌振動や路面凹凸を示すパラメータについては考慮されていない。本稿ではITSイメージセンサ通信において通信路変動の要因となる車輌振動及び路面凹凸を示すパラメータを車輌振動測定の結果に基づいて推定する。","2016年7月",""
"H. Tanaka, T. Yamazato, Y. Tadokoro, S. Arai","Performance comparison of stochastic resonance receiver with Schmitt trigger, comparator, and three-level device for subthreshold signal reception","Nonlinear Theory and Its Applications, IEICE, vol.7, no.3, pp.407-418","This paper discusses the stochastic resonance (SR) effect in a binary communication
system for subthreshold signal reception. We focus on the problem of no communication when
received signal strength is below receiver sensitivity. Subthreshold signal reception requires a
device that exhibits SR, such as a Schmitt trigger or a comparator. Previously, we proposed
an alternative three-level device and demonstrated its high performance for subthreshold signal
reception in an SR receiver. In the present study, we show that our proposed three-level
device outperforms the three devices and discuss reasons for this superior performance. Contributions
of our present paper are twofold: first, we analytically derive bit error rate (BER)
performances of SR receivers installed with a Schmitt trigger and a comparator; second, we
compare performances of the Schmitt trigger, comparator, and three-level device.","2016年7月","10.1587/nolta.7.407"
"山里敬也","高速イメージセンサ通信の路車間・車車間通信への応用","JIEP主催2016最先端実装技術シンポジウム, 東京ビッグサイト","フレームレートが1,000 fps以上の高速イメージセンサはロボットの目としての利用が注目されている．講演者は，高速イメージセンサを受信機に用いて路車間・車車間・路車間通信への応用について検討している．この講演では，イメージセンサ通信について，とりわけITSへの応用について紹介する．","2016年6月",""
"Y. Goto, I. Takai, T. Yamazato, H. Okada, T. Fujii, S. Kawahito, S. Arai, T. Yendo, K. Kamakura","A New Automotive VLC System Using Optical Communication Image Sensor","IEEE Photonics Journal, vol.8, no.3 ","As a new technology for next-generation vehicle-to-everything (V2X) communication, visible-light communication (VLC) using light-emitting diode (LED) transmitters and camera receivers has been energetically studied. Toward the future in which vehicles are connected anytime and anywhere by optical signals, the cutting-edge camera receiver employing a special CMOS image sensor, i.e., the optical communication image sensor (OCI), has been prototyped, and an optical V2V communication system applying this OCI-based camera receiver has already demonstrated 10-Mb/s optical signal transmission between real vehicles during outside driving. In this paper, to reach a transmission performance of 54 Mb/s, which is standardized as the maximum data rate in IEEE 802.11p for V2X communication, a more advanced OCI-based automotive VLC system is described. By introducing optical orthogonal frequency-division multiplexing (opticalOFDM), the new system achieves a more than fivefold higher data rate. Additionally, the frequency response characteristics and circuit noise of the OCI are closely analyzed and taken into account in the signal design. Furthermore, the forward-current limitation of an actual LED is also considered for long operational reliability, i.e., the LED is not operated in overdrive. Bit-error-rate experiments verify a system performance of 45 Mb/s without bit errors and 55 Mb/s with BER < 10-5.","2016年6月","10.1109/JPHOT.2016.2555582"
"T. Yamazato, A. Ohmura, H. Okada, T. Fujii, T. Yendo; S. Arai, K. Kamakura","Range estimation scheme for integrated I2V-VLC using a high-speed image sensor","IEEE International Conference on Communications Workshops (ICC), pp.326-330, Kuala Lumpur, Malaysia","High-speed image sensors, designed for machine vision and control, provide the "eyes" for autonomous and connected vehicle. 
A noteworthy feature of high-speed image sensors is their ability to be used as a reception device for visible light communication (VLC) signals. Due to the massive number of pixels available and the ability to spatially separate sources, a signal-receiving pixel in the image sensor plane represents the actual position of the transmitter. The VLC signal can be represented not only by a VLC time domain signal but also by the position of the transmitter. In this paper, we propose a robust range estimation scheme that integrates with a VLC function for infrastructure-to-vehicle visible light communication (I2V-VLC). The scheme is composed of an LED array transmitter and a high-speed image sensor receiver. It measures a range by taking phase-only correlation (POC) and avoids vehicle vibration from road irregularity. Field trials confirm an accuracy range of 0.3 m, even on rough road conditions, with the measurement time of 2 ms, which is much faster than that of light detection and ranging (LIDAR).","2016年5月","10.1109/ICCW.2016.7503808,"
"大野良太, 山里敬也","700MHz帯路車協調システムを用いた交通流制御に関する一検討","電子情報通信学会技術研究報告, RCS2016-3, pp.13-18, 弘前"," 	本稿では路車間通信システムを用いた交通流制御を提案する. 現在、交差点における交通流制御には信号機や道路標識が広く使われている. しかし信号機や標識による交通流制御では、指示情報は灯火できるものや標識に示されたものに限られてしまう. そのため交通量の変動や渋滞に対応してきめ細やかに指示内容を変更することはできない. これに対して路車間通信システムを用いた交通流制御を行うと, 任意の速度で走行する指示や今後の指示変更スケジュールなど, 信号や標識では提示できない情報の伝達が可能となる. よって交通の状況に応じて秒単位で指示を変更して車へ与えられるため, よりスムーズな交通流の制御ができると考えられる.
本研究は, 日本国内において導入及び研究開発が進められている700MHz帯路車協調システム[1]を応用した交通流制御手法の提案, 有効性の検討を目的とする. 本稿ではその初期検討として路車間通信を用いた直進車線のみの十字型交差点に適用可能なアルゴリズムを提案する. 路車間通信非対応車の存在を考慮し, 信号機と併用して交通流を制御することを考え, 信号機のみによる交通流制御に対して, システムの普及に伴う効率性・環境性の比較を行う. ","2016年4月",""
"山里敬也","名古屋大学で無償公開されている教材　ー教材のオープン化と大学図書館の役割ー","名古屋大学附属図書館研究年報，第13号","本稿では，教材の無償公開とその経緯，著作権の課題など教材のオープン化にかかる事柄を取り上げて述べていく．また，名古屋大学で無償公開されている教材を紹介しつつ，名古屋大学理学部および工学部の市販教科書の利用率から，教員が自ら編纂した教材を用いて授業展開している割合が高いことを示す．これは，教材のオープン化の素地があることを示唆するが，そのように作成された教材を適切に公開するための支援組織が無いため，教材のオープン化が進まない．教材のオープン化には，著作権処理とメタデータ（書誌情報）の付与，そして広く認知されるための仕組みが必要となる．筆者はこれら機能を図書館が持つと良いと考えている．本稿では，教材のオープン化と図書館の役割について筆者の考えも述べる．","2016年4月",""
"山岡智也","移動体通信システムのための時空間ブロック符号を簡易に用いる送信/協調ダイバーシチ技術","博士論文","
","2016年3月",""
"木下雅之，山里敬也，岡田啓，藤井俊彰，荒井伸太郎，圓道知博，鎌倉浩嗣 ","屋外走行環境における高速イメージセンサを用いた路車間可視光通信路のモデル化","電子情報通信学会 総合大会, AS-3-10, pp.S-53 - S-54, 福岡","本稿ではLED光源を送信機，高速イメージセンサを受信機に想定したITS可視光通信について考える．
本稿では画像間での送信機位置の移動(オプティカルフロー)を通信路の
変動として扱い，イメージセンサを用いたITS可視光通信特有の通信路モデル化
につい検討する．
ITS可視光通信において想定される道路インフラから車両への通信を
行う路車間可視光通信について，画像上での送信機の振る舞いを単一のピ
ンホールカメラを用いることでモデル化を行う．
そして6軸加速度センサにより測定した車両振動を用いた数
値解析を行い，実際に測定した路車間可視光通信路の変動特性と比較す
ることで提案モデルの妥当性を評価する．","2016年3月",""
"川北直明，山里敬也，岡田啓，藤井俊彰，荒井伸太郎，圓道知博，鎌倉浩嗣","光OFDMを用いた見通し外車車間可視光通信の誤り率特性","電子情報通信学会 総合大会, A-9-17, p.153, 福岡","本稿ではLED可視光通信のITSへの応用として、見通し外車車間可視光通信に着目
する。先行研究では、反射型道路付属物を用いて光信号を反射することで見
通し外車両との通信が可能であることが示されているが、変調方式がOOK(On-Off
Keying)であるため通信速度の点で十分でない。そこで本稿では、変調方式に光OFDMを採用したシステムを提案し、その性能を通信実験で得られた誤り率特性(BER)により評価する。","2016年3月",""
"田中裕也，中島康雄，山里敬也，田所幸浩，荒井伸太郎","一様雑音及び２値雑音を用いた確率共鳴受信機の誤り率特性改善","電子情報通信学会 総合大会, NBS-1-1, pp.S-113 - S-114, 福岡","確率共鳴(SR) は雑音に対して系の応答が改善される特性を持つ現象として知られている．確率共鳴を発現する系を受信機に適用することにより，従来の受信機では検出すらできない極微弱な信号を受信できる可能性がある．本研究の目的は，確率共鳴系を用いることで超高感度な受信機を実現することである．受信機の高感度化は，送信電力の削減や他ユーザーへの干渉電力の抑制を可能とし，省エネや周波数帯域不足の問題解消につながると期待できる．これまでに，確率共鳴系において故意に印加する雑音としてガウス雑音を使用してきた．しかし，ガウス雑音以外の雑音を使用することで系の応答の向上が期待できる．本稿では，故意に加える雑音として，一様雑音と２値雑音を用いたときの確率共鳴受信機の誤り率特性を評価し，ガウス雑音との特性比較を行う．","2016年3月",""
"中島康雄，田中裕也，山里敬也，田所幸浩，荒井伸太郎","受信感度以下の帯域制限されたBPSK信号を想定した確率共鳴受信機 の誤り率評価","電子情報通信学会 総合大会, N-2-2, p.369, 福岡","確率共鳴(SR)系では適切な雑音を加えることによって信号の応答が向上する．
確率共鳴系を受信機に適用することにより，従来の受信機の受信感度以下の信号
を通信に利用できる可能性がある．これまでには，振幅一定のBPSK信号に対する
確率共鳴受信機についての通信品質の評価が行われていたが，実用される無線信
号においては，信号をフィルタによって帯域制限する必要がある．その場合，振
幅が変動するため，振幅への依存性の大きい確率共鳴の効果に影響を与える可能
性がある．本稿ではroot raised cosine(RRC)フィルタを適用したBPSK信号を想
定した確率共鳴受信機の誤り率特性を実験によって評価する．","2016年3月",""
"大野良太, 山里敬也","700MHz帯インフラ協調システムを用いた車群統御のための初期検討","電子情報通信学会 総合大会, A-14-8, p.194, 福岡","本稿では路車間通信システムを用いた車群統御を提案する。ここで車群統御とは、同じ車線を走行する十数台程度の車をまとめて制御し、交通流を形成することをいう。現在、交差点における交通流制御には信号機や道路標識が広く使われている。しかし信号機や標識による交通流制御では、指示情報は灯火できるものや標識に示されたものに限られ、交通量の変動や渋滞に対応してきめ細やかに指示内容を変更することはできない。これに対して路車間通信システムを用いた車群統御を行うと、任意の速度で走行する指示を出すことや今後の指示変更スケジュールなど信号や標識では提示できない情報の伝達が可能となり、交通の状況に応じて秒単位で指示を変更して車へ与えられるため、よりスムーズな交通流の制御ができると考えられる。
本稿では、日本国内において導入及び研究開発が進められている700MHz帯インフラ協調システム[1]を応用した車群統御手法の提案を目的とし、その初期検討として直進車線のみの十字路に適用可能なアルゴリズムを提案し、従来使用されている周期的に色が変わる信号機との効率比較を行う。","2016年3月",""
"後藤裕樹","可視光通信イメージセンサを用いた路車・車車間通信のための光OFDMの高速化","修士論文","","2016年3月",""
"T. Yamaoka, T. Hara, A. Okazaki, T. Yamazato","Transmit diversity with single RF front-end using CIOD","IEICE Communications Express, vol.5, no.2, pp.44-48 ","Complex interleaved orthogonal design (CIOD) can offers diversity gain to the part of the source in spatial modulation which has single radio frequency (RF) front-end at the transmitter despite multiple-inputmultiple-output, but emits the undesired component out-of-band. For the reducing out-of-band emission, we give up indicating the information source by the antenna switching and increase both the interleaver size and the antenna switching interval. The increase reduces the discontinuities in the waveform and out-of-band emission. We propose such a scheme as transmit diversity with single RF front-end using CIOD. The diversity gain of the proposed scheme is equivalent to the case for CIOD. Moreover, we evaluate the increase of out-of-band emission and confirm that of the proposed scheme compared to the ideal case is only 3dB.","2016年2月","10.1587/comex.2015XBL0170"
"山里敬也","貧乏人の反転授業","名古屋高等教育研究，第16号","本稿では、筆者が実践した、あるいは実践しているアクティブラー ニングについて紹介する。アクティブラーニングと言っても、様々な 形態があるが、本稿で紹介するのは反転授業(flipped classroom)で ある。反転授業では、授業時間外に従来教室の中(授業学習)でおこ なわれていたことを外(授業外学習)にして、外でおこなわれていた ことを中でおこなうという形で入れ替える教授学習である。大規模公 開オンライン講座(MOOC)の普及も手伝い、反転授業における授業 時間外学習は、一般にはビデオ教材を用いて行うものと受けとめられ ているが、それにはコストがかかる。そこで、なるべくコストのかか らない反転授業(貧乏人の反転授業と呼ぶ)を試行しているところで ある。現在進行形で試行しているところなので、効果を評価するには 早いが、前向きな感触を得ている。
アクティブラーニングの教授学習法には様々なものがあり、いろい ろと思いを巡らすことも多い。このようなことをつらつらと考えてい ると、とどのつまり、(我々が)大学で教えるべきことは何なのか、(学 生が)大学で学ぶべきことは何なのか、という問いにたどり着く。本 稿では、筆者の愚考についても述べる。
","2016年2月",""
"岩&#x7028;大吾，笠井信，圓道知博，荒井伸太郎，山里敬也，岡田啓，鎌倉浩嗣，藤井俊彰","高速度カメラとLED交通信号機を用いた路車間可視光通信システムにおける通信速度の向上","電子情報通信学会論文誌, vol.J99-B, no.2, pp.97-104","我々は，路車間可視光通信に着目し，送信機にLED交通信号機，受信機に高速度カメラを用いたシステムの実現を目指し，研究を行っている．本論文ではLEDマトリックスを送信機，高速度カメラを受信機として用いたシステムのリアルタイム処理の実装と通信速度の改善を図る．今回用いたシステムにおいて，LEDと高速度カメラの同期は難しく，送信機の更新周期と受信機の撮影速度が同じ場合，点灯パターンが混合した画像を取得してしまう．この問題の対策として，従来法では受信機の撮影速度を送信機の更新速度の倍にすることで，2フレームに1枚点灯パターンの混合していない画像を取得している．我々は受信機の撮影速度と送信機の更新速度を一致させ，混合画像から点灯パターンを推定することで通信速度を向上させる手法を提案する．","2016年2月",""
"Y. Ohira, S. Arai, T. Yendo, T. Yamazato, H. Okada, T. Fujii and K. Kamakura","Novel Demodulation Scheme Based on Blurred Images for Image-Sensor-Based Visible Light Communication","IEEE GLOBECOM Workshop on Optical Wireless Communication, San Diego, CA, USA","This paper proposes a novel data detection scheme based on the occurrence of blurred output images in image-sensor-based visible light communication systems. This system's receiver suffers from an inability to detect correct LED luminance values and demodulation of data because the captured image blurs owing to defocusing. The proposed method assumes that the light emitted by all LEDs that is diffused by the blur can be approximated by applying a Gaussian filter and expressesall LED luminance values as convolution equations based on this diffusion of the LED light. We estimate each LED light's condition by simultaneously solving these convolution equations and recover data according to the estimated result. To confirm the accuracy of the proposed method, we conduct computer simulations and an implementation experiment to evaluate the bit error rate performance of the proposed method.","2015年12月","10.1109/GLOCOMW.2015.7414144,"
"H. Tanaka, T. Yamazato, Y. Tadokoro, S. Arai","A note on subthreshold signal reception using stochastic resonance receiver - Comparison of dynamical and non-dynamical devices -","International Symposium on Nonlinear Theory and its Application (NOLTA), Hong Kong, China","Stochastic resonance (SR) is an interesting phenomenon in that noise enhances system responses. Despite an attractive phenomenon of SR that noise enhances a weak signal below a receiver sensitivity, few researchers have addressed the SR effect in communication systems. Previously, we proposed an analysis method for the SR receiver with a device exhibiting SR and evaluated its bit error rate (BER) performance. However, the device was limited to a non-dynamical device, and there is room for improving the performance of the SR receiver by changing
the device. In this paper, we use two typical devices exhibiting SR, i.e., a comparator as a non-dynamical device and a Schmitt trigger as a dynamical device. We evaluate the BER performances of these devices with analysis methods and numerical simulations. A performance comparison
of these devices is also shown.","2015年12月",","
"C. Fuwa, H. Okada, K. Kobayashi, M. Katayama","Performance Analysis of Wireless Mesh Networks Using Forward/Reverse-Link Multi-User MIMO","International Symposium on EcoTopia Science (ISETS), no.P-6-2, Nagoya, Japan","IEEE 802.11ac, which is the latest standard of IEEE 802.11, supports forward-link (downlink) MU (Multi-User)-MIMO (Multiple-Input Multiple-Output), and it can improve the transmission efficiency. IEEE 802.11ax,
which is under standardization, is considered to apply reverse-link (uplink) MU-MIMO, and a further improvement
of the efficiency is expected. In this paper, we propose to introduce reverse-link MU-MIMO in addition to
forward-link MU-MIMO for wireless mesh networks, and evaluate the performance in terms of area transmission
efficiency, which indicates a number of packets in a unit area. Then, we clarify that the proposed system achieves
the higher area transmission efficiency than forward-link MU-MIMO.","2015年11月",","
"M. Kinoshita, T. Yamazato, H, Okada, T. Fujii, S. Arai, T. Yendo, K. Kamakura","I2V-VLC Vehicle Motion Modeling Using Actual Vehicle Vibration","International Workshop on Vision, Communications and Circuits (IWVCC) , Yokohama, Japan","Image-sensor-based visible light communications
(IS-VLC), or also known as image sensor communication (ISC) and camera communications (CamCom), is one of emerging segment in the field of visible light communications (VLC). As the name indicates, IS-VLC uses light-emitting diodes (LEDs) or an LED array for the transmitter by modulating LED’s intensity at high speeds that are undetectable to the human eye. For the reception device, IS-VLC adopts image-sensor. In our previous work, we have proposed vehicle motion model that expresses the motion of VLC transmitter in image plane by single pinhole camera model. In this paper, we performed a simulation based on vehicle motion model for infrastructure-to-vehicle
VLC (I2V-VLC) with actual vehicle vibration measured by 6- axis acceleration sensor of smartphone and evaluated its channel characterized by optical flow.","2015年11月",","
"H. Tanaka, T. Yamazato, S. Arai","Performance Evaluation of Stochastic Resonance Receiver for Dynamical and Non-Dynamical Devices in QPSK Modulation","International Workshop on Vision, Communications and Circuits (IWVCC) , Yokohama, Japan","This paper evaluates the performance of the stochastic
resonance (SR) receiver for subthreshold signal reception. We
focus on the problem of no communication when received signal
strength is below receiver sensitivity. Previously, we proposed
a SR receiver installed with a typical device exhibiting SR in
BPSK modulation and presented the performance improvement
for subthreshold signals. However, the performances of other
nonlinear devices exhibiting SR are not clear, and we require
the performance evaluation for various nonlinear devices. And
also, the performance evaluation in multi-level modulation is
not presented. In this paper, we evaluate bit error rate (BER)
performances of SR receivers installed with a three-level device,
a Schmitt trigger and a comparator in QPSK modulation.","2015年11月",","
"S. Sato, H. Okada, K. Kobayashi, T. Yamazato, M. Katayama","[Exhibition] An Optical Camera Communication System Using Digital Signage","International Conference and Exhibition on Visible Light Communications (ICEVLC), Yokohama, Japan","","2015年10月",","
"Y. Kawai, T. Yamazato, H. Okada, T. Fujii, T. Yendo, S. Arai, K. Kamakura","Tracking of LED headlights considering NLOS for an image sensor based V2I-VLC","International Conference and Exhibition on Visible Light Communications (ICEVLC), Yokohama, Japan","This paper focuses on image sensor based
vehicle-to-infrastructure visible light communication (V2IVLC)
for Intelligent Transport Systems (ITSs). Because
the image sensor can spatially separate multiple or noise
sources, its receiver can simultaneously demodulate multiple
sources. Thus, we consider multiple source reception
from multiple vehicles. In image sensor based VLC, the
transmitted data are received by extracting the luminance
corresponding to the VLC transmitter from the captured
image. Transmitter detection and tracking are an important
requirement of these systems but are degraded
by occlusion, which causes non-line of sight (NLOS). We
focus on tracking of transmitters that may be occluded by
moving vehicles in V2I-VLC. Our proposed method detects
multiple LED headlights by combining a background
difference method with an LED detection method based
on time and space gradients. We also propose a tracking
method based on optical flow-based tracking, which
handles occlusion by linear or second-curve interpolation.
The proposed methods were evaluated by a high-speed
camera placed by the roadside. The false-positive and falsenegative
tracking rates were 6.25% and 3.32%, respectively,
at κ = 60 (where κ defines the permissible error in the
optical flow).","2015年10月",","
"岡田啓，佐藤翔，和田忠浩，山里敬也，片山正昭","［依頼講演］デジタルサイネージを用いた可視光イメージセンサ通信","映像情報メディア学会技術報告, BCT2015-74, pp.21-24, 山形","本稿では，液晶ディスプレイ等を用いた電子広告媒体であるデジタルサイネージ
による可視光イメージセンサ通信について検討する．本検討で送信機として用
いるデジタルサイネージは，動画などによる広告コンテンツ(視覚情報)を表示する．
デジタルサイネージを用いた可視光イメージセンサ通信では，
この視覚情報を阻害しないように，データ情報を送信する必要がある．
本研究では，青色差が人に視認されにくいことを利用し，
青色差変調を用いてデータ情報を視覚情報へ重畳し，それをイメージセンサ
 (カメラ)にて撮影する可視光イメージセンサ通信システムを構築し，
データ伝送実験により検証する．","2015年10月",""
"K. Chiga, H. Tanaka, T. Yamazato, Y. Tadokoro, S. Arai","Development of add-on stochastic resonance device for the detection of subthreshold RF signals","Nonlinear Theory and Its Applications, IEICE, vol. 6, no. 4, pp. 520-533","Stochastic resonance (SR) is a nonlinear phenomenon that, under certain conditions, can enhance system response by adding noise to the signals of some nonlinear system. A particular advantage of SR over conventional linear systems is that it is able to detect subthreshold signals that linear systems hardly sense. Unfortunately, most research of SR in wireless communication systems has focused on fundamental analysis, leaving work to be done in experimental SR research despite the attractiveness of its application. Few attempts have so far addressed the development of SR receivers to show the feasibility of subthreshold signal detection. Those receivers that have been developed are simple ones specially made to confirm the usefulness of SR without needing to support state-of-the-art wireless radio technology. The purpose of this study is to examine the feasibility of using an SR receiver to receive subthreshold radio frequency (RF) signals. A new add-on SR device is developed and confirmation that the SR phenomenon exists within RF is obtained when using software defined radio (SDR) as the post-processing receiver. Furthermore, bit error rate (BER) performance is mainly governed by the add-on SR device's output signal quality. ","2015年10月","10.1587/nolta.6.520"
"中島康雄，田中裕也，山里敬也，田所幸浩，荒井伸太郎","受信感度以下のQPSK信号を想定した確率共鳴受信機の誤り率評価","電気・電子・情報関係学会東海支部連合大会, K5-4, 名古屋工業大学","確率共鳴系では適切な雑音を加えることによって信号の応答が向上する．確率共鳴系を受信機に適用することにより，従来の受信機の受信感度以下の信号を通信に利用できる可能性がある．本稿では，QPSK信号を想定した確率共鳴受信機について，誤り率特性を評価する．","2015年9月",""
"T. Yamazato, M. Kinoshita, S. Arai, E. Souke, T. Yendo, T. Fujii, K. Kamakura, H. Okada","Vehicle Motion and Pixel Illumination Modeling for Image Sensor Based Visible Light Communication","IEEE Journal on Selected Areas in Communications, vol.33, no.9, pp.1793-1805","Channel modeling is critical for the design and performance evaluation of visible light communication (VLC). Although a considerable amount of research has focused on indoor VLC systems using singleelement photodiodes, there remains a need for channel modeling of VLC systems for outdoor mobile environments. In this paper, we describe and provide results for modeling image sensor based VLC for automotive applications. In particular, we examine the channel model for mobile movements in the image plane as well as channel decay according to the distance between the transmitter and the receiver. Optical flow measurements were conducted for three VLC situations for automotive use: infrastructure to vehicle VLC (I2V-VLC); vehicle to infrastructure VLC (V2I- VLC); and vehicle to vehicle VLC (V2V-VLC). We describe vehicle motion by optical flow with subpixel accuracy using phase-only correlation (POC) analysis and show that a single-pinhole camera model successfully describes these three VLC cases. In addition, the luminance of the central pixel from the projected LED area versus the distance between the LED and the camera was measured. Our key findings are twofold. First, a single-pinhole camera model can be applied to vehicle motion modeling of a I2V-VLC, V2I-VLC, and V2V-VLC. Second, the DC gain at a pixel remains constant as long as the projected image of the transmitter LED occupies several pixels. In other words, if we choose a pixel with highest luminance among the projected image of transmitter LED, the value remains constant, and the signal-to-noise ratio does not change according to the distance.","2015年9月","10.1109/JSAC.2015.2432511"
"Katsunori Ebihara, Koji Kamakura, Takaya Yamazato","Layered Transmission of Space-Time Coded Signals for Image-Sensor-Based Visible Light Communications","Journal of Lightwave Technology, Vol.33, No.20, pp.4193 - 4206","This paper demonstrates the feasibility of layered space-time coding (STC) in an outdoor image-sensor-based (ISbased) visible light communication (VLC) system. We examined that for low-resolution IS-based VLC channel where intensity-modulated signals from two different light emitting diodes (LEDs) are detected by one pixel of an IS, STC allows us to decouple them; thus, succeeding to receive them with no errors. Consequently, STC offers extended transmission distance to pixel-resolution-limited IS-based VLC links. In the layered STC presented in this paper, additional bit streams are laid on the 2n × 2n LED array for increasing the transmission rate per symbol duration for the case where the pixel resolution is improved. A prototype of a threelayered STC is built with an 8 × 8 LED array, where each of the LEDs is modulated at 1 kb/s and a high-speed camera with IS operating at 1000 fps. Our experimental results validate that the two additional bit streams (layer-2 and -3), aligned in the layer-1 STC matrix pair, are extracted with no errors when the receiver comes within 155 and 55 m, respectively, from the LED array, without decreasing 210 m of the transmission distance of layer-1 bit stream.","2015年8月","10.1109/JLT.2015.2470091"
"山里敬也","[招待講演] 可視光通信とV2X","平成27年度フォトニクス技術フォーラム「第一回次世代光学素子研究会」, 大坂科学技術センター","","2015年7月",""
"T. Yamazato","[Invited Talk] Image Sensor Based Visible Light Communication for V2X","2015 IEEE SUMMER TOPICALS MEETING SERIES, Visible Light Communications (VisC), Nassau, Bahamas","","2015年7月","10.1109/PHOSST.2015.7248248,"
"大平祐生，荒井伸太郎，圓道知博，山里敬也，岡田啓，藤井俊彰，鎌倉浩嗣","LEDと高速度カメラを用いた可視光通信における劣化画像からの信号復号手法","電子情報通信学会論文誌, vol.J98-B, no.7, pp.696-706","本論文ではLED信号機(送信機)と車載高速度カメラ(受信機)を使用した路車間可視光通信システムに注目する．受信機にカメラを用いた場合，送受信機間の通信距離が離れるにつれ，撮影画像のピクセル数の減少やピントのずれなどが起こり，各LEDは隣接するLEDから光の干渉を受け，画像が劣化，特に画像がボケてしまう問題が起こる．そのため，輝度値を正しく認識できず，情報の復号に影響を及ぼしてしまう．本研究では，画像の“ボケ”を考慮した新たな信号復号方法を提案する．具体的には，撮影画像に写る各LEDの画素値は自身と隣接するLED輝度値とその拡がりの係数との畳み込みの式で表され，これをLEDの数だけ立てる事で，連立方程式により，未知の変数である送信データを導出することで情報復元を行う．シミュレーション及び実験により性能を評価した結果，提案手法は，従来の復号方式に比べ，優れたBER特性をもつ事が確認できた．","2015年7月",""
"Shintaro Arai, Takaya Yamazato, Hiraku Okada, Toshiaki Fujii, Tomohiro Yendo","LED acquisition methods for image-sensor-based visible light communication","Opto-Electronics and Communications Conference (OECC), pp.1-3","Abstract:
This invited paper focuses on a high-speed image sensor as a visible light communication (VLC) reception device to develop the intelligent transport systems (ITS) application using VLC technique. We refer to the VLC using a high-speed image sensor as image-sensor-based VLC. A major advantage of the image sensor is the ability to spatially separate multiple sources. Based on this ability, we proposed several methods for the image-sensor-based VLC in our previous researches. Especially, we focused on unique characteristics of the image sensor and proposed the hierarchical coding and the overlay coding to improve the data reception performance. However, to perform the image-sensor-based VLC in an actual environment, the receiver has to acquire the VLC transmitter from captured images before recovering data. Namely, the VLC transmitter acquisition and tracking are critical problem. the image-sensor-based VLC technique. This invited paper introduces two proposed methods to acquire the VLC transmitter from images captured by the image sensor.","2015年6月","10.1109/OECC.2015.7340210,"
"Katsunori Ebihara, Koji Kamakura, Takaya Yamazato","Layered space-time coding using LED array for image-sensor-based visible light communications","IEEE International Conference on Communications (ICC), pp.5048-5053, London, UK","This paper demonstrates the feasibility of layered space-time coding (STC) in an outdoor image-sensor-based (IS-based) visible light communication (VLC) system. We examined that for low-resolution IS-based VLC channel where intensity modulated signals from two different light emitting diodes (LEDs) are detected at one pixel on the image plane, STC allows to decouple them, thus receiving data with no errors. Consequently, STC offers extending the transmission distance. In the layered STC presented here, additional bit streams are aligned in the 2n×2n LED array for increasing the transmission rate per symbol duration for the case where the spatial resolution is improved. A prototype of three layered STC is built with an 8×8LED array, where each of the LEDs is modulated at 1 kbps and a high-speed camera with IS operating at 1000 fps. Our experimental results validate that additional bit streams (layer-2 and -3), aligned in the layer-1 STC matrix pair, are extracted with no errors when the receiver comes within 155m and 55 m, respectively, from the LED array, without decreasing 210m of the transmission distance of layer-1 bit stream.","2015年6月","10.1109/ICC.2015.7249124,"
"佐藤翔, 岡田啓, 小林健太郎, 山里敬也, 片山正昭","青色差変調を用いたデジタルサイネージ可視光通信システム","電子情報通信学会技術研究報告, ASN2015-1, pp.1-6, 東京","液晶ディスプレイ等を用いた広告媒体であるデジタルサイネージの普及が進んでいる．デジタル技術を利
用することが可能であり様々な応用が検討されている．検討の一つとして，広告視聴者とデジタルサイネージ間の無
線通信技術が挙げられる．本研究では，画像処理を用いたイメージセンサ可視光通信技術に注目し，一般に普及して
いる携帯端末カメラを受信機として利用することによりコスト問題の解決を目指す．可視光通信では，デジタルサイ
ネージに情報信号の表示を行う．そのため，広告コンテンツへの情報信号の重畳に伴う，コンテンツの品質劣化が課
題となる．そこで本稿では，人間の視覚特性を考慮し，人間には知覚不可能な情報手法として青色差変調を提案する．
青色差変調を用いた，デジタルサイネージ携帯端末間通信システムを実機において構築し，実環境における有効性を
データ伝送実験により検証する．","2015年5月",","
